sl no,work,status,year,garam,work type,Total
,(1504009014/IF/93393042892341224),,,,,
495,ಪೀರಣಗುಡಿ ಗ್ರಾಮದ ರಮೆಜಾಬಿ ಬಂದೆನವಾಜ ಹೊಸಮನಿ ಇವರ ದನದ ಶೆಡ್ ನಿರ್ಮಾಣ,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892343956),,,,,
496,ಪೀರಣಗುಡಿ ಗ್ರಾಮದ ಮೌಲಾಲಿ ಹೊಸಮನಿ ಇವರ ದನದ ಶೆಡ್ ನಿರ್ಮಾಣ,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892343959),,,,,
497,ನರಸಾಪೂರ ಗ್ರಾಮದ ರುಕ್ಮವ್ವ ಶಿವಪ್ಪ ದಳವಾಯಿ ಇವರ ದನದ ಶೆಡ್ಡು ನಿರ್ಮಾಣ,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892344390),,,,,
498,ನರಸಾಪೂರ ಗ್ರಾಮದ ರೇಣುಕಾ ಫಕೀರಪ್ಪ ಪೂಜೇರ ಇವರ ದನದ ಶೇಡ್ಡು ನಿರ್ಮಾಣ,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892344400),,,,,
499,ನರಸಾಪೂರ ಗ್ರಾಮದ ಮಾರುತಿ ತಿಪ್ಪಣ್ಣ ಪರಮಗೊಂಡ ಇವರ ದನದ ಶೇಡ್ಡು ನಿರ್ಮಾಣ,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.38672
,(1504009014/IF/93393042892344404),,,,,
500,ಚಿಲಮೂರ ಗ್ರಾಮದ ಅಶ್ವೀನಿ ಬಾಪುಸಾಬ ಸಾಲ್ಪೇಕರ ಬಸವ ವಸತಿ ಯೋಜನೆಯಡಿ ಮನೆ ನಿರ್ಮಾಣ,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892351650),,,,,
501,ಚಿಲಮೂರ ಗ್ರಾಮದ ಯಲ್ಲಪ್ಪ ಹೊಳೆಯಪ್ಪ ದಳವಾಯಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.19422
,(1504009014/IF/93393042892351998),,,,,
502,ನರಸಾಪೂರ ಗ್ರಾಮದ ಮಾದೇವಿ ಈರಣ್ಣ ಹುರಕಡ್ಲಿ ಬಸವ ವಸತಿ ಯೋಜನೆಯಡಿ ನಿರ್ಮಾಣ,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892352001),,,,,
503,ನರಸಾಪೂರ ಗ್ರಾಮದ ಸಾವಿತ್ರಿ ಬಸವರಾಜ ಮೇಟ್ಟಿಣ ಅಂಬೇಡ್ಕರ ಯೋಜನೆಯಡಿ ಮನೆ ನಿರ್ಮಾಣ,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892352388),,,,,
504,ಮದಾರಸಾಬ ಚಿನಗಿಸಾಬ ಮಕಾನದಾರ ಇವರ ಜಮಿನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.19422
,(1504009014/IF/93393042892356555),,,,,
505,ಜಂಗ್ಲಿಸಾಬ ಮದಾರಸಾಬ ಮಕಾನದಾರ ಇವರ ಜಮಿನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.19422
,(1504009014/IF/93393042892356556),,,,,
506,ಹಜೆರೇಸಾಬ ದಿವಾನಸಾಬ ಹೊಸಮನಿ ಇವರ ಜಮಿನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.19173
,(1504009014/IF/93393042892356557),,,,,
507,ಮಕ್ತುಮಸಾನ ಇಮಾಮಸಾಬ ಸಂಕದಾಳ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892356560),,,,,
508,ಶಿವಪ್ಪ ರಾ ಮಂತ್ರನ್ನವರ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892356561),,,,,
509,ಗುಲ್ಜಾರ ಮೌಲಾಲಿ ಹೊಸಮನಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.19422
,(1504009014/IF/93393042892356564),,,,,
510,ರಮೇಜಾ ಬಂದೇಸಾಬ ಹೊಸಮನಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.19422
,(1504009014/IF/93393042892356565),,,,,
511,ನರಸಾಪೂರ ಗ್ರಾಮದ ರೇಣುಕಾ ಲಕ್ಷ್ಮಣ ಭಜಂತ್ರಿ ಇವರ ಬಸವ ಯೋಜನೆಯಡಿ ನಿರ್ಮಾಣ,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.1992
,(1504009014/IF/93393042892356707),,,,,
512,ಚಿಲಮೂರ ಗ್ರಾಮದ ದುಂಡವ್ವ ಲಕ್ಷ್ಮಣ ಬಿಲಕಂಚಿ ಇವರ ಮನೆ ನಿರ್ಮಾಣ,On Going,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0.24134
,(1504009014/IF/93393042892359352),,,,,
513,ನರಸಾಪೂರ ಗ್ರಾಮದ ಸಿದ್ದಪ್ಪ ಯ ಕಳ್ಳೆಪ್ಪನವರ ಇವರ ದನದ ಶೆಡ್ ನಿರ್ಮಾಣ,Approved,2019-2020,W.R Deptt.,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892369145),,,,,
514,ಚಿಲಮೂರ ಗ್ರಾಮದ ವಿಠ್ಠಲ ತಿಪ್ಪನ್ನ ಹಲಗತ್ತಿ ಇವರ ದನದ ಶೆಡ್ಡು ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892369925),,,,,
515,ನರಸಾಪೂರ ಗ್ರಾಮದ ಸಿದ್ದಪ್ಪ ಯ ಕಳ್ಳೆಪ್ಪನವರ ಇವರ ದನದ ಶೆಡ್ ನಿರ್ಮಾಣ,physical complete,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892369928),,,,,
516,ಮಂಜುಳಾ ಸುರೇಶ ನಕಾತಿ ಬಸವ ವಸತಿ ಯೋಜನೆ ಮನೆ ನಿರ್ಮಾಣ,On Going,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0.12948
,(1504009014/IF/93393042892382330),,,,,
517,ತಿಪ್ಪವ್ವ ಶಿವಪ್ಪ ರೋಟ್ಟಿ ಬವಸ ವಸತಿ ಯೋಜನೆ ಮನೆ ನಿರ್ಮಾಣ,On Going,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0.19173
,(1504009014/IF/93393042892382341),,,,,
518,ಚಿಲಮೂರ ಗ್ರಾಮದ ಮಂಜುನಾಥ ಶಿವಪ್ಪ ರೋಟ್ಟಿ ಇವರ ದನದ ಶೆಡ್ಡು ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892385216),,,,,
519,ಚಿಲಮೂರ ಗ್ರಾಮದ ಮಾರುತಿ ಫಕೀರಪ್ಪ ಕಟಗಿ ಇವರ ದನದ ಶೆಡ್ಡು ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892385218),,,,,
520,ಚಿಲಮೂರ ಗ್ರಾಮದ ಶಿವಪ್ಪ ಫಕೀರಪ್ಪ ರೊಟ್ಟಿ ಇವರ ಜಮೀನಿನಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892385219),,,,,
521,ಚಿಲಮೂರ ಗ್ರಾಮದ ಉಮೇಶ ಶೇಖಪ್ಪ ಅಂಗಡಿ ಇವರ ದನದ ಶೇಡ್ಡು ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892394700),,,,,
522,ಚಿಲಮೂರ ಗ್ರಾಮದ ವಿಠ್ಠಲ ಸಿದ್ದಪ್ಪ ಹಾದಿಮನಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,physical complete,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892394706),,,,,
523,ಚಿಲಮೂರ ಗ್ರಾಮದ ಲಕ್ಷ್ಮಣ ಸಿದ್ದಪ್ಪ ಹಾದಿಮನಿ ಇವರ ಜಮೀನಿನಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,physical complete,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892394708),,,,,
524,ಚಿಲಮೂರ ಗ್ರಾಮದ ಶಿವಪ್ಪ ರಾಮಣ್ಣ ರೋಟ್ಟಿ ಇವರ ದನದ ಶೇಡ್ಡು ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892394710),,,,,
525,ಚಿಲಮೂರ ಗ್ರಾಮದ ರಾಮಣ್ಣ ಗ ರೊಟ್ಟಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892394712),,,,,
526,ಚಿಲಮೂರ ಗ್ರಾಮದ ಮಾದೇವ ಬಸಪ್ಪ ಕುಂಬಾರ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892394724),,,,,
527,ಚಿಲಮೂರ ಗ್ರಾಮದ ಮಾರುತಿ ಭೀಮಪ್ಪ ಸಾಲ್ಪೇಕರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,physical complete,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892394726),,,,,
528,ಚಿಲಮೂರ ಗ್ರಾಮದ ಮಂಜುನಾಥ ಶಿವಪ್ಪ ರೊಟ್ಟಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892394728),,,,,
529,ಚಿಲಮೂರ ಗ್ರಾಮದ ನಾಮದೇವ ಫಕೀರಪ್ಪ ಹುಚಕೆಂಚನ್ನವರ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892394730),,,,,
530,ಚಿಲಮೂರ ಗ್ರಾಮದ ಮಾಯಪ್ಪ ಭಗವಂತಪ್ಪ ಬಿಜಗುಪ್ಪಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892401525),,,,,
531,ಚಿಲಮೂರ ಗ್ರಾಮದ ಲಕ್ಷ್ಮಣ ಹನಮಂತಪ್ಪ ಕುಕ್ಕಡಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,physical complete,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0.19173
,(1504009014/IF/93393042892401528),,,,,
532,ನರಸಾಪೂರ ಗ್ರಾಮದ ದುರಗವ್ವ ಪರಮೇಶಿ ಮಾದರ ಇವರ ಮನೆ ನಿರ್ಮಾಣ 1268164,On Going,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0.13944
,(1504009014/IF/93393042892405199),,,,,
533,ನರಸಾಪೂರ ಗ್ರಾಮದ ಲಕ್ಕಪ್ಪ ಮಾದೇವಪ್ಪ ಬಾಂಗಿ ಇವರ ದನದ ಶೆಡ್ಡು ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892436297),,,,,
534,ಮಕ್ತುಮಸಾಬ ಇಮಾಮಸಾಬ ಸಂಕದಾಳ ಇವರ ಜಮಿನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892436304),,,,,
535,ಚಿಲಮೂರ ಗ್ರಾಮದ ದುಂಡಪ್ಪ ಭೀಮಪ್ಪ ತುಮಗೋಣಿ ಇವರ ಬದು ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892436627),,,,,
536,ನರಸಾಪೂರ ಗ್ರಾಮದ ನಾಗಪ್ಪ ಲ ಹಳ್ಳಿ ಇವರ ದನದ ಕೊಟ್ಟಿಗೆ ನಿರ್ಮಾಣ,physical complete,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892437781),,,,,
537,ನರಸಾಪೂರ ಗ್ರಾಮದ ಗೂಳಪ್ಪ ಬಸಪ್ಪ ಹಳೆತೋರಗಲ್ ಇವರ ಹೊಲದಲ್ಲಿ ದನದ ಕೋಟ್ಟಿಗೆ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892437785),,,,,
538,ನರಸಾಪೂರ ಗ್ರಾಮದ ಉಮೇಶ ವೀರಭದ್ರಪ್ಪ ಬಳೆಗೇರ ಇವರ ಹೊಲದಲ್ಲಿ ದನದ ಕೋಟ್ಟಿಗೆ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892437786),,,,,
539,ನರಸಾಪೂರ ಗ್ರಾಮದ ಶಿವಪ್ಪ ನಾಗಪ್ಪ ಹಳ್ಳಿ ಇವರ ಹೊಲದಲ್ಲಿ ದನದ ಕೋಟ್ಟಿಗೆ ನಿರ್ಮಾಣ,physical complete,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892437787),,,,,
540,ನರಸಾಪೂರ ಗ್ರಾಮದ ಶಂಕ್ರಪ್ಪ ಶಿವಪ್ಪ ಹಳ್ಳಿ ಇವರ ಹೊಲದಲ್ಲಿ ದನದ ಕೋಟ್ಟಿಗೆ ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892437788),,,,,
541,ನರಸಾಪೂರ ಗ್ರಾಮದ ಶಿವಪ್ಪ ದುಂ ಯಾದವಾಡ ಇವರ ಜಮಿನದಲ್ಲಿ ದನದ ಕೊಟ್ಟಿಗೆ ನಿರ್ಮಾನ,New,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892437789),,,,,
542,ನರಸಾಪೂರ ಗ್ರಾಮದ ಯಲ್ಲಪ್ಪ ಶಿವಪ್ಪ ಕಡ್ಲೆಪ್ಪನವರ ಇವರ ಹೊಲದಲ್ಲಿ ದನದ ಕೋಟ್ಟಿಗೆ ನಿರ್ಮಾಣ,physical complete,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892437790),,,,,
543,ನರಸಾಪೂರ ಗ್ರಾಮದ ಜಂಗ್ಲಿಸಾಬ ಮದರಸಾಬ ಮಕಾನದಾರ ಇವರ ಹೊಲದಲ್ಲಿ ದನದ ಕೋಟ್ಟಿಗೆ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892437792),,,,,
544,ನರಸಾಪೂರ ಗ್ರಾಮದ ಶೆಟ್ಟೆಪ್ಪ ಸಿ ಕಳ್ಳೆಪ್ಪನ್ನವರ ಇವರ ಹೊಲದಲ್ಲಿ ದನದ ಕೋಟ್ಟಿಗೆ ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892437793),,,,,
545,ನರಸಾಪೂರ ಗ್ರಾಮದ ಸುರೇಶ ಶಂ ಬಳಿಗೇರ ಇವರ ದನದ ಕೊಟ್ಟಿಗೆ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892437794),,,,,
546,ನರಸಾಪೂರ ಗ್ರಾಮದ ವಿಲಾಸ ಅಪ್ಪಣ್ಣ ಕಡಕೋಳ ಇವರ ಹೊಲದಲ್ಲಿ ದನದ ಕೋಟ್ಟಿಗೆ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892437795),,,,,
547,ನರಸಾಪೂರ ಗ್ರಾಮದ ಶಿವಪ್ಪ ಯಮನಪ್ಪ ಪೂಜೇರ ಇವರ ಹೊಲದಲ್ಲಿ ದನದ ಕೋಟ್ಟಿಗೆ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892437796),,,,,
548,ನರಸಾಪೂರ ಗ್ರಾಮದ ಬಸವರಾಜ ಅಪ್ಪಣ್ಣ ಕಡಕೋಳ ಇವರ ಹೊಲದಲ್ಲಿ ದನದ ಕೋಟ್ಟಿಗೆ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892437797),,,,,
549,ನರಸಾಪೂರ ಗ್ರಾಮದ ದ್ಯಾಮವ್ವ ಮಾರುತಿ ಹಳ್ಳಿ ಇವರ ಮನೆಯ ಹತ್ತಿರ ದನದ ಕೊಟ್ಟಿಗೆ ನಿರ್ಮಾನ,New,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892437798),,,,,
550,ನರಸಾಪೂರ ಗ್ರಾಮದ ಮಾದೇವ ಅಜ್ಜಪ್ಪ ಮೇಟ್ಟಿನ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892439883),,,,,
551,ನರಸಾಪೂರ ಗ್ರಾಮದ ಬಸವ್ವ ಮಾದೇವ ಮೇಟ್ಟಿನ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892439887),,,,,
552,ನರಸಾಪೂರ ಗ್ರಾಮದ ಬಸವ್ವ ಮಾದೇವ ಮೇಟ್ಟಿನ ಇವರ ಜಮೀನಿನಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892439889),,,,,
553,ನರಸಾಪೂರ ಗ್ರಾಮದ ಶಂಕ್ರಪ್ಪ ಶಿವಪ್ಪ ಹಳ್ಳಿ ಇವರ ದನದ,New,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892447651),,,,,
554,ನರಸಾಪೂರ ಗ್ರಾಮದ ಶಿವಪ್ಪ ದುಂ ಯಾದವಾಡ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892447652),,,,,
555,ನರಸಾಪೂರ ಗ್ರಾಮದ ಮಾಬುಪಟೇಲ ರ ಬಿ ಪಾಟೀಲ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,physical complete,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892447654),,,,,
556,ನರಸಾಪೂರ ಗ್ರಾಮದ ವಿದ್ಯಾಶ್ರೀ ಯಲ್ಲಪ್ಪ ಮಾದರ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,On Going,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0.17928
,(1504009014/IF/93393042892447657),,,,,
557,ನರಸಾಪೂರ ಗ್ರಾಮದ ದ್ಯಾಮಣ್ಣ ಯ ಪೊತ್ತೆನ್ನವರ ಇವರ ಕೋಳಿ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892447658),,,,,
558,ಜೀವಾಪೂರ ಗ್ರಾಮದ ಹನಮವ್ವ ಸಣ್ಣಮಲ್ಲಪ್ಪ ಕೋನಿನ ಇವರ ಪಿ.ಎಂ.ಎ.ವಾಯ್ ಯೋಜನೆ ಮನೆ ನಿರ್ಮಾಣ,On Going,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0.14672
,(1504009014/IF/93393042892447694),,,,,
559,ಜೀವಾಪೂರ ಗ್ರಾಮದ ನಾಗವ್ವ ರಂಗಪ್ಪ ಹಗೇದ ಇವರ ಪಿ.ಎಂ.ಎ.ವಾಯ್ ಯೋಜನೆ ಮನೆ ನಿರ್ಮಾಣ,On Going,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0.05229
,(1504009014/IF/93393042892447696),,,,,
560,ನರಸಾಪೂರ ಗ್ರಾಮದ ಮಾರುತಿ ಬ ಪರಮಗೊಂಡ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892449297),,,,,
561,ನರಸಾಪೂರ ಗ್ರಾಮದ ಸುರೇಶ ಶಂ ಬಳಿಗೇರ ಇವರ ದನದ ಕೊಟ್ಟಿಗೆ ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892449298),,,,,
562,ನರಸಾಪೂರ ಗ್ರಾಮದ ಉಮೇಶ ವೀರಭದ್ರಪ್ಪ ಬಳೆಗೇರ ಇವರ ಹೊಲದಲ್ಲಿ ದನದ ಕೋಟ್ಟಿಗೆ ನಿರ್ಮಾಣ,On Going,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892449299),,,,,
563,ನರಸಾಪೂರ ಗ್ರಾಮದ ಸಂಗಪ್ಪ ಯಲ್ಲಪ್ಪ ಹಂಜಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892449301),,,,,
564,ನರಸಾಪೂರ ಗ್ರಾಮದ ಶಂಕ್ರಪ್ಪ ಶಿವಪ್ಪ ಹಳ್ಳಿ ಇವರ ಹೊಲದಲ್ಲಿ ದನದ ಕೋಟ್ಟಿಗೆ ನಿರ್ಮಾಣ,physical complete,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892449741),,,,,
565,ನರಸಾಪೂರ ಗ್ರಾಮದ ಗೂಳಪ್ಪ ಬಸಪ್ಪ ಹಳೆತೋರಗಲ್ ಇವರ ಹೊಲದಲ್ಲಿ ದನದ ಕೋಟ್ಟಿಗೆ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892449742),,,,,
566,ನರಸಾಪೂರ ಗ್ರಾಮದ ಜಂಗ್ಲಿಸಾಬ ಮದರಸಾಬ ಮಕಾನದಾರ ಇವರ ಹೊಲದಲ್ಲಿ ದನದ ಕೋಟ್ಟಿಗೆ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892449743),,,,,
567,ಚಿಲಮೂರ ಗ್ರಾಮದ ಶಾಂತವ್ವ ಬ ಕುದರಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892450479),,,,,
568,ಚಿಲಮೂರ ಗ್ರಾಮದ ವಿಠ್ಠಲ ಹ ಹಾದಿಮನಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892450480),,,,,
569,ಚಿಲಮೂರ ಗ್ರಾಮದ ಲಕ್ಷ್ಮಣ ಹ ಮಲ್ದೂರ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892450481),,,,,
570,ನರಸಾಪೂರ ಗ್ರಾಮದ ಲಕ್ಕವ್ವ ಯಮನಪ್ಪ ಕಾಮಾರ ಪಿ.ಎಂ.ಎ.ವಾಯ್. ಯೋಜನೆಯಡಿ ಮನೆ ನಿರ್ಮಾಣ,On Going,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0.1815
,(1504009014/IF/93393042892450839),,,,,
571,ನರಸಾಪೂರ ಗ್ರಾಮದ ಜಂಗ್ಲಿಸಾಬ ಮದರಸಾಬ ಮಕಾನದಾರ ಇವರ ದನದ ಕೊಟ್ಟಿಗೆ ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892455919),,,,,
572,ನರಸಾಪೂರ ಗ್ರಾಮದ ದ್ಯಾಮವ್ವ ಮಾರುತಿ ಹಳ್ಳಿ ಇವರ ಮನೆಯ ಹತ್ತಿರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892455922),,,,,
573,ನರಸಾಪೂರ ಗ್ರಾಮದ ದ್ಯಾಮಣ್ಣ ಯ ಪೊತ್ತೆನ್ನವರ ಇವರ ಕೋಳಿ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892455923),,,,,
574,ನರಸಾಪೂರ ಗ್ರಾಮದ ಬಸಪ್ಪ ಯ ಮಾದರ ಇವರ ಕೋಳಿ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892455924),,,,,
575,ಚಿಲಮೂರ ಗ್ರಾಮದ ಸಿದ್ದಪ್ಪ ಬಸಪ್ಪ ಕುಂಬಾರ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,physical complete,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0.32725
