sl no,work,status,year,garam,work type,Total
,(1504009014/FP/93393042892192800),,,,,
51,ಪೀರನಗುಡಿ ಗ್ರಾಮದಲ್ಲಿ ಬುಡನಸಾಬ ಶ ಮಕಾನದಾರ ಮನೆಯಿಂದ ಡಾಂಬರ ರಸ್ತೆವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,Completed,2018-2019,Gram Panchayat,Flood Control and Protection,4.85486
,(1504009014/FP/93393042892202344),,,,,
52,ನರಸಾಪೂರ ಗ್ರಾಮದ ಲಕ್ಷ್ಮೀ ನಗರದಲ್ಲಿ ಶಿದ್ದಪ್ಪ ಇಂಚಲ ಇವರ ಮನೆಯಿಂದ ಕಲ್ಲಪ್ಪ ತುತಗಡಗಿ ಇವರ ಮನೆವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,Completed,2018-2019,Gram Panchayat,Flood Control and Protection,6.18713
,(1504009014/FP/93393042892204352),,,,,
53,ನರಸಾಪೂರ ಗ್ರಾಮದ ಕ್ರಷ್ಣಪ್ಪ ಹುಚಕೆಂಚನ್ನವರ ಮನೆಯಿಂದ ತಾಜುಪಟೇಲ ಕೆಂಜಗನ್ನವರ ಮನೆ ವರಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,Completed,2018-2019,Gram Panchayat,Flood Control and Protection,4.80791
,(1504009014/FP/93393042892205908),,,,,
54,ನರಸಾಪೂರ ಗ್ರಾಮದ ಮಲ್ಲನಗೌಡ ಪಾಟೀಲ ಇವರ ಮನೆ ಯಿಂದ ಬಸು ಮಾದರ ಇವರ ಮನೆ ಮುಂದಿನ ಕಾಲುವೆವರಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,Completed,2018-2019,Gram Panchayat,Flood Control and Protection,4.15094
,(1504009014/FP/93393042892206226),,,,,
55,ನರಸಾಪೂರ ಗ್ರಾಮದ ಕಣವಿ ಬಸವೇಶ್ವರ ನಗರದಲ್ಲಿ ಬಾವಿಯಿಂದ ರಸ್ತೆವರಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,Completed,2018-2019,Gram Panchayat,Flood Control and Protection,1.23241
,(1504009014/FP/93393042892206335),,,,,
